"report_date_as_yyyy_mm_dd","noncomm_positions_long_all","noncomm_positions_short_all"
"2025-11-18T00:00:00.000","169890","138733"
"2025-11-10T00:00:00.000","172349","123873"
"2025-11-04T00:00:00.000","170180","118915"
"2025-10-28T00:00:00.000","178745","110630"
"2025-10-21T00:00:00.000","175724","105310"
"2025-10-14T00:00:00.000","160639","123473"
"2025-10-07T00:00:00.000","159197","112890"
"2025-09-30T00:00:00.000","167811","106346"
"2025-09-23T00:00:00.000","176400","96900"
"2025-09-16T00:00:00.000","161673","100262"
"2025-09-09T00:00:00.000","180724","89081"
"2025-09-02T00:00:00.000","174774","101516"
"2025-08-26T00:00:00.000","170765","86281"
"2025-08-19T00:00:00.000","168363","90782"
"2025-08-12T00:00:00.000","164693","90459"
"2025-08-05T00:00:00.000","160258","78252"
"2025-07-29T00:00:00.000","162122","72879"
"2025-07-22T00:00:00.000","164411","57766"
"2025-07-15T00:00:00.000","165444","61862"
"2025-07-08T00:00:00.000","166192","50037"
"2025-07-01T00:00:00.000","170624","43286"
"2025-06-24T00:00:00.000","178403","46126"
"2025-06-17T00:00:00.000","175601","44724"
"2025-06-10T00:00:00.000","184195","39600"
"2025-06-03T00:00:00.000","189514","38365"
"2025-05-27T00:00:00.000","191802","27790"
"2025-05-20T00:00:00.000","194510","27180"
"2025-05-13T00:00:00.000","194226","21958"
"2025-05-06T00:00:00.000","204008","27149"
"2025-04-29T00:00:00.000","202797","23585"
"2025-04-22T00:00:00.000","202373","24559"
"2025-04-15T00:00:00.000","198560","26705"
"2025-04-08T00:00:00.000","176555","29488"
"2025-04-01T00:00:00.000","161566","39792"
"2025-03-25T00:00:00.000","160474","35098"
"2025-03-18T00:00:00.000","164752","41788"
"2025-03-11T00:00:00.000","176790","42888"
"2025-03-04T00:00:00.000","183955","50304"
"2025-02-25T00:00:00.000","171751","75771"
"2025-02-18T00:00:00.000","147566","86997"
"2025-02-11T00:00:00.000","144158","89543"
"2025-02-04T00:00:00.000","104684","85916"
"2025-01-28T00:00:00.000","96809","97768"
"2025-01-21T00:00:00.000","94157","108830"
"2025-01-14T00:00:00.000","91434","120845"
"2025-01-07T00:00:00.000","91206","111395"
"2024-12-31T00:00:00.000","96119","104562"
"2024-12-24T00:00:00.000","95958","93647"
"2024-12-17T00:00:00.000","87208","81247"
"2024-12-10T00:00:00.000","97938","72186"
"2024-12-03T00:00:00.000","93622","91288"
"2024-11-26T00:00:00.000","87597","110230"
"2024-11-19T00:00:00.000","78973","125841"
"2024-11-12T00:00:00.000","64038","128940"
"2024-11-05T00:00:00.000","60334","104501"
"2024-10-29T00:00:00.000","64925","89742"
"2024-10-22T00:00:00.000","79364","66593"
"2024-10-15T00:00:00.000","86685","52575"
"2024-10-08T00:00:00.000","83679","47151"
"2024-10-01T00:00:00.000","95513","38741"
"2024-09-24T00:00:00.000","104690","38679"
"2024-09-17T00:00:00.000","97332","40492"
"2024-09-10T00:00:00.000","98894","43124"
"2024-09-03T00:00:00.000","91791","50675"
"2024-08-27T00:00:00.000","84305","58437"
"2024-08-20T00:00:00.000","88761","65176"
"2024-08-13T00:00:00.000","87101","63997"
"2024-08-06T00:00:00.000","66169","77523"
"2024-07-30T00:00:00.000","65016","138476"
"2024-07-23T00:00:00.000","64390","171498"
"2024-07-16T00:00:00.000","47356","198428"
"2024-07-09T00:00:00.000","41521","223554"
"2024-07-02T00:00:00.000","36714","220937"
"2024-06-25T00:00:00.000","34576","208476"
"2024-06-18T00:00:00.000","29429","177182"
"2024-06-11T00:00:00.000","30763","169342"
"2024-06-04T00:00:00.000","40427","172528"
"2024-05-28T00:00:00.000","28565","184604"
"2024-05-21T00:00:00.000","29614","173981"
"2024-05-14T00:00:00.000","35303","161485"
"2024-05-07T00:00:00.000","34990","169912"
"2024-04-30T00:00:00.000","40435","208823"
"2024-04-23T00:00:00.000","42426","222345"
"2024-04-16T00:00:00.000","49463","215082"
"2024-04-09T00:00:00.000","47275","209426"
"2024-04-02T00:00:00.000","55190","198420"
"2024-03-26T00:00:00.000","59969","189075"
"2024-03-19T00:00:00.000","66274","182286"
"2024-03-12T00:00:00.000","54923","157245"
"2024-03-05T00:00:00.000","54671","173514"
"2024-02-27T00:00:00.000","51261","183966"
"2024-02-20T00:00:00.000","53862","174640"
"2024-02-13T00:00:00.000","58554","170090"
"2024-02-06T00:00:00.000","55646","139876"
"2024-01-30T00:00:00.000","44918","125373"
"2024-01-23T00:00:00.000","52585","123230"
"2024-01-16T00:00:00.000","44180","100740"
"2024-01-09T00:00:00.000","41364","97313"
"2024-01-02T00:00:00.000","33585","90780"
"2023-12-26T00:00:00.000","37321","92889"
"2023-12-19T00:00:00.000","31734","96636"
"2023-12-12T00:00:00.000","28226","109357"
"2023-12-05T00:00:00.000","28266","133222"
"2023-11-28T00:00:00.000","30461","139698"
"2023-11-21T00:00:00.000","39236","144690"
"2023-11-14T00:00:00.000","27772","158021"
"2023-11-07T00:00:00.000","27238","131278"
"2023-10-31T00:00:00.000","37641","141489"
"2023-10-24T00:00:00.000","30964","130593"
"2023-10-17T00:00:00.000","33139","135797"
"2023-10-10T00:00:00.000","36780","136256"
"2023-10-03T00:00:00.000","47544","161532"
"2023-09-26T00:00:00.000","46169","155681"
"2023-09-19T00:00:00.000","45737","147356"
"2023-09-12T00:00:00.000","38247","136960"
"2023-09-05T00:00:00.000","37014","134150"
"2023-08-29T00:00:00.000","24790","123263"
"2023-08-22T00:00:00.000","28680","124003"
"2023-08-15T00:00:00.000","34789","115750"
"2023-08-08T00:00:00.000","23135","106315"
"2023-08-01T00:00:00.000","26849","106065"
"2023-07-25T00:00:00.000","30358","108110"
"2023-07-18T00:00:00.000","29776","120015"
"2023-07-11T00:00:00.000","29838","147020"
"2023-07-03T00:00:00.000","41713","159633"
"2023-06-27T00:00:00.000","38018","150888"
"2023-06-20T00:00:00.000","32244","139900"
"2023-06-13T00:00:00.000","37088","141064"
"2023-06-06T00:00:00.000","34151","138968"
"2023-05-30T00:00:00.000","40736","136929"
"2023-05-23T00:00:00.000","36760","117420"
"2023-05-16T00:00:00.000","29494","94285"
"2023-05-09T00:00:00.000","22229","83244"
"2023-05-02T00:00:00.000","28088","96412"
"2023-04-25T00:00:00.000","13680","82424"
"2023-04-18T00:00:00.000","15661","72530"
"2023-04-11T00:00:00.000","11933","69140"
"2023-04-04T00:00:00.000","11523","68559"
"2023-03-28T00:00:00.000","9717","63692"
"2023-03-21T00:00:00.000","7255","73600"
"2023-03-14T00:00:00.000","11048","85842"
"2023-03-07T00:00:00.000","17141","92444"
"2023-02-28T00:00:00.000","27703","86381"
"2023-02-21T00:00:00.000","32486","66515"
"2023-02-14T00:00:00.000","23079","50922"
"2023-02-07T00:00:00.000","16556","45645"
"2023-01-31T00:00:00.000","22550","42610"
"2023-01-24T00:00:00.000","27620","49255"
"2023-01-17T00:00:00.000","29458","52419"
"2023-01-10T00:00:00.000","26395","61772"
"2023-01-03T00:00:00.000","25377","72241"
"2022-12-27T00:00:00.000","29685","67415"
"2022-12-20T00:00:00.000","33686","74567"
"2022-12-13T00:00:00.000","22290","75478"
"2022-12-06T00:00:00.000","23589","89585"
"2022-11-29T00:00:00.000","28125","95519"
"2022-11-22T00:00:00.000","30800","95650"
"2022-11-15T00:00:00.000","33797","99639"
"2022-11-08T00:00:00.000","37201","112459"
"2022-11-01T00:00:00.000","40460","118080"
"2022-10-25T00:00:00.000","37579","140197"
"2022-10-18T00:00:00.000","30583","124919"
"2022-10-11T00:00:00.000","30149","107542"
"2022-10-04T00:00:00.000","26962","108585"
"2022-09-27T00:00:00.000","22706","105262"
"2022-09-20T00:00:00.000","34767","116047"
"2022-09-13T00:00:00.000","39323","120015"
"2022-09-06T00:00:00.000","56002","114191"
"2022-08-30T00:00:00.000","54513","96044"
"2022-08-23T00:00:00.000","56734","95541"
"2022-08-16T00:00:00.000","51308","80199"
